client_id,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,spec_contrast_0,spec_contrast_1,spec_contrast_2,spec_contrast_3,spec_contrast_4,spec_contrast_5,spec_contrast_6,spec_contrast_std_0,spec_contrast_std_1,spec_contrast_std_2,spec_contrast_std_3,spec_contrast_std_4,spec_contrast_std_5,spec_contrast_std_6,zcr,zcr_std,rms,rms_std,centroid,centroid_std,bandwidth,bandwidth_std,rolloff,rolloff_std,hnr,hnr_std,pitch,pitch_std,age_group,gender
2367,-432.26483,24.08664,-5.332883,12.949594,-8.943176,-5.7217627,-11.43512,3.9477313,-0.7745239,-1.0093279,-0.93584806,-3.2641187,0.4120321,177.30338,56.33827,30.966698,21.437757,26.315546,16.441711,17.804321,10.093309,11.008873,6.1266966,7.8880486,7.1538563,7.4453197,0.36826172,0.3420314,0.38941035,0.43202186,0.40606856,0.30845365,0.31130818,0.29663733,0.38134694,0.3837798,0.3897422,0.40370178,0.30680594,0.29992935,0.32388902,0.34569636,0.34581774,0.29913333,0.32019597,0.25257185,0.3192522,0.32959363,0.33244428,0.33231875,19.64208012433328,14.210557353772103,16.534543415512534,17.57975240303147,18.509268137651006,20.929397165485117,47.11886046715806,5.296145545240343,4.378123298786436,4.4595153909078595,3.7084564446592374,4.094382914110134,6.436123332758248,13.551182494800146,0.2270259006767516,0.15768090176498623,0.026734892,0.0472707,2336.4057097214195,1454.7108787299596,1565.659348066299,816.7518170117459,4103.801751592357,2367.047992396235,-6.0900234e-06,0.013956989,69.72926,407.32407,eighties,female
4961,-311.55627,73.40495,6.9401965,27.061089,-16.04495,-15.098266,-16.786057,-7.314627,-12.15895,-8.910508,-12.139377,-7.716146,-7.2371163,124.914314,68.35017,45.078827,36.660595,20.566563,22.831297,16.006657,12.137684,10.90592,11.787568,10.865222,10.742182,9.795465,0.35435492,0.39129212,0.34762403,0.3001419,0.2770797,0.25953183,0.3120232,0.36726722,0.4248248,0.41767943,0.3034278,0.3268416,0.32699874,0.3411724,0.30531043,0.27989835,0.27863076,0.26455313,0.28594905,0.33425388,0.3585824,0.3693308,0.2715801,0.3128012,21.388540499108974,17.576671084878203,19.831400037475856,17.59276788895256,19.167682805104167,21.826052870344203,49.26334491597075,5.978058724544273,5.342340668900739,4.6465610302335065,4.152665714783237,3.5274405489479115,6.573008262436501,6.093745306176306,0.18539137141719744,0.1538205748414895,0.059247248,0.059394833,2034.300635885525,1302.3291043644288,1603.252133386246,493.42924845390513,3709.892515923567,1913.6805391062792,1.722112e-05,0.049053095,29.846931,264.88495,eighties,female
5149,-461.05997,60.012638,-5.7112494,7.5475264,-8.3308,-12.673735,-17.41355,-11.532742,-11.182205,-10.038942,-10.883626,-11.62242,-14.220975,94.35931,36.966022,17.717419,17.71526,13.579391,19.205334,11.134468,11.245281,9.413625,9.557739,6.094928,7.6475096,6.3308134,0.37061954,0.383325,0.3802958,0.40724376,0.38203704,0.43117964,0.6000997,0.47127315,0.5835525,0.5758592,0.5221213,0.37721172,0.21633676,0.21430968,0.22615395,0.26262093,0.25303528,0.2642053,0.37218547,0.2718018,0.3439505,0.2948823,0.30716732,0.22678758,23.43412494020694,15.192640308356404,16.673725796244263,15.270342146566051,15.786940626128503,16.347408994039693,51.845788570184325,5.271959427549146,4.525471585535914,4.633627748976263,3.1997224734536203,2.229756625377233,4.607943317737406,6.025681368478528,0.1657419386942675,0.08711602335391927,0.012182014,0.021552924,2199.998275426145,772.3323681238412,1942.944282516089,331.71691818722246,4486.962579617834,1421.9888414365905,8.389111e-08,0.011561421,53.423706,317.42148,eighties,female
0122,-603.9091,81.02038,35.252586,16.308683,2.7038136,0.29166368,-7.317585,-3.758579,-13.099193,-17.310055,-15.086941,-7.719015,0.5845109,120.06275,95.175064,39.254837,27.7335,18.808546,20.719635,18.353569,16.458336,13.845084,15.91892,14.800352,11.365665,12.604959,0.2952742,0.24452572,0.3355661,0.45301118,0.55846,0.5532414,0.3856518,0.34253585,0.34560633,0.33781224,0.38529456,0.40746433,0.27776694,0.2839425,0.35300297,0.36340013,0.34044328,0.36108837,0.34293914,0.34548688,0.3595118,0.32337376,0.33274746,0.3481749,20.192484224927927,14.879240162584427,21.07680209349028,17.30401871442817,17.10448563453797,19.3729063357389,49.02300400297882,6.826835131379757,5.611486128734069,6.5944058328682145,4.688128660880565,4.158518989578773,5.813995154895424,7.510016954539764,0.23920494128184713,0.1904365979507864,0.006256565,0.005289631,2090.9075705127857,1659.6772761753764,1452.4036673930186,697.6254201375976,3382.3646496815286,2604.700303245589,-3.6246135e-07,0.0064542843,41.54215,321.92566,fifties,female
0130,-216.20514,66.427635,-11.973603,17.405283,-24.103895,-23.272417,-19.921543,-12.333515,-15.564207,-11.585392,-6.3642616,-12.0826435,-0.058254693,127.51402,56.157578,38.04326,35.806473,24.883627,22.83137,19.599886,13.419433,15.027127,10.428483,9.956203,11.126371,8.736719,0.30795467,0.30999625,0.33596453,0.2004941,0.15381047,0.18562925,0.18737935,0.3669292,0.4376074,0.46112224,0.36083946,0.34750584,0.32758826,0.30359858,0.31582567,0.18792897,0.17044623,0.21557526,0.20291089,0.33883736,0.33095115,0.39120203,0.34041542,0.33215064,18.173574818806323,19.1278400445634,20.85829337696228,19.50042005093375,19.552185331117645,21.53406844836921,51.60364367707774,4.676372097943081,4.7326547936188845,5.411514923044168,4.931809373977025,4.442140519723606,6.284335966796619,7.581586254721879,0.20464271496815287,0.15918395739574745,0.10996241,0.0719112,2199.1876437790456,1219.3835877058998,1697.8773348063773,541.2086943362211,3957.8523089171977,1994.267456175623,-1.1681686e-05,0.08758952,33.880573,273.3267,fifties,female
0144,-556.17914,47.158043,9.82867,14.757234,-1.6342208,2.4090693,5.500538,2.8290212,3.0688992,3.1151974,2.063869,0.022556614,-2.143308,154.03482,61.46763,17.077887,22.26362,13.435716,10.065525,9.528048,6.3003745,6.3520784,5.796776,5.112393,4.3064404,5.3234544,0.18515655,0.18660107,0.19318056,0.1963456,0.21577497,0.23700722,0.22430943,0.17937645,0.14755562,0.14442743,0.14721711,0.17542908,0.31939545,0.30500135,0.31749088,0.30242038,0.3244531,0.35452855,0.3375463,0.29663005,0.2485093,0.2600328,0.267378,0.3067917,19.57568938023145,16.659296551002413,16.798395782236227,17.309389585952648,17.055048303931674,17.744565455037637,32.05216594156708,4.878513146670506,3.2742390254814997,3.104492655341782,2.7272756746127036,1.921813656816094,2.6828338764497404,17.92816418099689,0.014673318073248409,0.023084425946372496,0.009878827,0.01741864,419.9285203192947,573.4668267488437,607.5581922681878,762.549721247163,897.4920382165606,1275.8962729975156,3.7775226e-07,0.01562315,1.6811737,51.19824,fifties,female
0224,-209.38336,59.747276,23.752815,29.847271,-5.320688,2.3712676,-2.6775634,-0.677749,-22.326,-2.1412575,-15.70717,-14.828367,-5.7137523,121.75261,58.9384,50.476555,30.88631,20.543242,16.782736,12.320168,11.808698,14.456184,10.88125,8.672494,9.055362,8.009002,0.31943262,0.28368902,0.24101157,0.25817814,0.386723,0.56285226,0.44044757,0.38563716,0.30583882,0.26149836,0.3260261,0.38496944,0.28948125,0.3168275,0.24817806,0.25339338,0.30705097,0.3703105,0.32446268,0.3500918,0.27151448,0.2712253,0.36274153,0.37578923,21.528860760160846,18.033651969248496,19.057030885364174,18.098615848892386,19.287775489018752,20.031785858340466,51.70822391115393,5.552086205144849,5.755071033410996,5.496190711242336,4.337009729014504,4.1969584970849025,5.13765970256673,5.834012139940939,0.19070026373407642,0.14057178821417288,0.15630727,0.12011298,2330.756364416621,1341.2640897684582,1829.1247496765113,538.6759654049181,4270.899681528663,2032.602137649669,3.1839296e-05,0.13189074,20.227243,219.51292,fifties,female
0242,-488.6655,79.70614,13.537501,15.151862,-8.974195,3.0910342,-6.4341555,2.2893722,0.90438306,-4.9384866,-9.285144,-10.485686,1.0656228,130.7501,72.62073,35.035656,35.191082,21.448467,15.067576,16.536383,16.213053,10.703548,11.747727,11.965189,10.806727,8.539423,0.13549636,0.10171626,0.12225857,0.1831779,0.34804246,0.371721,0.44840062,0.38820228,0.394909,0.31358597,0.17164698,0.14411278,0.21028522,0.145204,0.2378789,0.2526786,0.36704886,0.37800163,0.4138568,0.3056471,0.35281548,0.33476517,0.21892306,0.23016928,20.529667408745038,17.68791422956679,20.722194322279368,20.252314954084916,20.14598172176564,23.117342710085,46.387614135335326,4.759869845317178,6.1763975082668,5.680748536889964,3.9251294075142815,3.789964135667946,6.960748244410933,10.720758388883768,0.09860482185509555,0.1349840121920295,0.023036432,0.02935539,1439.0585462093281,1241.7746051710596,1313.6231222757312,739.9800593661773,2740.893710191083,2101.4393601477614,-1.5664527e-05,0.02331249,12.742191,168.38884,fifties,female
0300,-504.40903,42.472904,-0.8997755,5.595678,2.8260725,-3.962609,-2.2157733,2.52569,-10.613256,-0.9881578,-4.9043903,-4.720655,-0.5111759,169.94177,59.27085,18.659521,18.66656,11.515041,10.954516,8.934041,8.472613,18.024757,8.012717,8.961327,7.674686,3.3317661,0.2609314,0.23936103,0.16697475,0.15295859,0.19539396,0.2391715,0.2774784,0.24442495,0.27036324,0.31894568,0.34560332,0.30447352,0.30454507,0.30131948,0.21390508,0.2059104,0.2593869,0.2997558,0.322076,0.29422316,0.31997317,0.35806522,0.40185854,0.34774968,18.497941255303786,15.90765113448154,17.20448006228224,15.98189086166882,18.388462334529823,16.67673879959823,37.82900077783685,5.108426554560895,3.96388343104554,4.413854581888767,2.8988363142973643,2.9383749748111816,3.0154392139501973,18.003692267413903,0.08128172273089172,0.0832644636778974,0.021664545,0.038052235,1065.0022198027043,1003.7697955166665,1086.3796077920279,939.0366888064444,2315.2368630573246,2246.7709605023388,-1.5824813e-06,0.023815425,17.794218,169.5001,fifties,female
0341,-568.69543,43.87713,-8.420647,16.94428,-9.084583,24.161798,1.0326451,8.704022,6.3266716,8.321854,-6.679955,5.0277715,0.74969393,172.15242,60.802654,24.713938,27.275715,20.539448,21.971367,17.909288,12.528651,9.999827,10.745123,9.727186,8.807442,7.186363,0.32406688,0.39197424,0.41300458,0.36429247,0.3563942,0.3475723,0.32858637,0.30743745,0.31062502,0.2860053,0.29004425,0.25557476,0.33710206,0.35871634,0.38560495,0.34903833,0.34488878,0.34941363,0.36992472,0.34152108,0.3501879,0.34186757,0.3323299,0.27446347,18.958998491857614,14.974532578726443,16.565688728264814,17.014525973895605,17.861785081809895,19.368951300645033,47.06320780820259,5.173377815076469,4.725871525571657,4.488475442599896,4.113906959577566,3.124635157034288,3.400862920833384,17.607724421659317,0.13549338176751594,0.14962045125467488,0.0062589836,0.008925458,1597.367055610368,1342.4713358816596,1176.1269818279357,764.0391796030494,2818.670382165605,2138.1578647677457,2.5336594e-06,0.008997201,48.74331,360.40515,fifties,female
